Gene,LogFC,FDR,Importance,Source
SPAG1,,,0.008204599527731,Previous
TRIM36,,,0.0081697120479831,Previous
EPS8,,,-0.0075626562080193,Previous
E2F3,,,-0.007549208787102,Previous
ZNF624,,,-0.0074884859122393,Previous
TWSG1,,,-0.0074597982869325,Previous
IFNG,,,0.0070963459632009,Previous
CEP290,,,-0.0070878247961945,Previous
LEPR,,,0.0070814146651541,Previous
CHML,,,-0.0068027980500884,Previous
TMEM209,,,-0.0067923794578887,Previous
RPS10P5,,,-0.0067444238156102,Previous
RESF1,,,-0.0067411147574241,Previous
OTUD6B-AS1,,,-0.0066834933507992,Previous
MANEA-DT,,,0.0066347235422612,Previous
EOGT,,,-0.0066058345422051,Previous
LRRCC1,,,0.0064716366584073,Previous
PCGF6,,,-0.0063792684239467,Previous
BACH1-IT2,,,0.0063552756365626,Previous
WDR12P1,,,-0.0063015957731342,Previous
GEMIN2,,,0.0062282021517855,Previous
SMIM8,,,-0.0061973130230408,Previous
ZNF322,,,0.0060355103415855,Previous
RNU6-1005P,,,0.0059893477485615,Previous
ZNF674-AS1,,,0.0058492559448174,Previous
SLC19A2,,,0.0056001963906893,Previous
TTC9-DT,,,0.005451378369588,Previous
PHEX,,,-0.0053750059970045,Previous
SOCS6,,,0.0053743214907884,Previous
MAP10,,,-0.0050861962159572,Previous
ESF1,,,-0.0050634527610131,Previous
CETN3,,,0.0050352881091352,Previous
PIBF1,,,-0.0049491560999273,Previous
ECT2,,,-0.0048702108039334,Previous
LINC02762,,,-0.0045906760875047,Previous
PTENP1,,,0.0045504788269361,Previous
TRIM9,,,0.0045492809066922,Previous
PACRGL,,,0.0045201969028618,Previous
RBM47,,,-0.0043833171679227,Previous
GABRR2,,,0.0041417681400587,Previous
ZNF283,,,-0.0040615629919338,Previous
SORBS1,,,0.0039876584577031,Previous
CACNB4,,,-0.0039481172303148,Previous
PDK4,,,0.0039414612018951,Previous
HCG11,,,0.003923328326054,Previous
NID2,,,-0.0038371184725298,Previous
KIF27,,,-0.0037870048938758,Previous
TDRD6,,,0.0037731320991637,Previous
NDUFA5,,,-0.0037687606534345,Previous
DNAJC3-DT,,,-0.0037114579964976,Previous
PREP-AS1,,,0.0035657180145004,Previous
PDCD10,,,0.0035509932558618,Previous
LACC1,,,0.0033558539683695,Previous
ALDH1A2,,,-0.0033380918403114,Previous
ALCAM,,,0.0033195369293628,Previous
MEX3B,,,0.0032287361882258,Previous
RBM41,,,0.003104928004113,Previous
NAP1L2,,,-0.0030190096637643,Previous
PTCH1,,,0.0030072375342528,Previous
PM20D2,,,-0.0027296732617511,Previous
JRKL,,,0.0027258721949235,Previous
CCDC122,,,-0.0027218406040761,Previous
TNFRSF9,,,-0.0025644212310869,Previous
ZNF731P,,,0.0025621254450787,Previous
LIPT2-AS1,,,0.0023628839462705,Previous
ITPR1-DT,,,-0.0023172036663663,Previous
JDP2-AS1,,,-0.0022926301897522,Previous
ZNF879,,,0.002095381430724,Previous
RASGRF1,,,0.0019954439549161,Previous
ASPH,,,0.0019597685382703,Previous
SYCP2,,,-0.0019593618265327,Previous
SERPINI1,,,-0.0016722656318328,Previous
B4GALT6,,,-0.0014212804086502,Previous
MYO16-AS1,,,0.0010667320710462,Previous
CDK14,,,0.0010406169060192,Previous
ASB3,,,-0.0009829954203095,Previous
TENM1,,,-0.0006778725327755,Previous
TAFA2,,,-0.0006163028158709,Previous
DCAF4L1,,,0.0003939355325906,Previous
PDIK1L,,,-0.0002197389363166,Previous
ZNF718,,,0.0002159934883278,Previous
ZNF117,,,-4.7365672688681056e-05,Previous
