Gene,log2FC,p_value,FDR
ENSG00000252690,1.211975313759998,0.009325672996411391,0.48882457721850875
ENSG00000120256,0.9168210763954798,0.02941028087325759,0.48882457721850875
ENSG00000112406,0.9434378786489912,0.012479451600853663,0.48882457721850875
ENSG00000204390,0.4401661717442469,0.040517385653828925,0.48882457721850875
ENSG00000204389,0.4343858309422792,0.04571359995579982,0.48882457721850875
ENSG00000204386,0.3943674511165156,0.00971987356165969,0.48882457721850875
ENSG00000101310,0.47812566154315306,0.037709172187273134,0.48882457721850875
ENSG00000001036,0.48584918008129474,0.013310864816105304,0.48882457721850875
ENSG00000065526,0.571847692463713,0.05047227900973172,0.48882457721850875
ENSG00000104093,0.886615839764211,0.023952176302949275,0.48882457721850875
ENSG00000259668,1.418473804109551,0.014869983269002985,0.48882457721850875
ENSG00000140280,0.40785912980296146,0.03458195451685791,0.48882457721850875
ENSG00000166200,0.9955712357687752,0.030935611412342065,0.48882457721850875
ENSG00000156958,0.5717936448597625,0.03467389007939347,0.48882457721850875
ENSG00000261597,1.0915323715044185,0.0425105753414537,0.48882457721850875
ENSG00000272221,0.8527596928419996,0.044462099425752424,0.48882457721850875
ENSG00000120254,0.5028779993776169,0.04591873226665525,0.48882457721850875
ENSG00000220848,0.76595186085581,0.005840747788980315,0.48882457721850875
ENSG00000202343,0.7782877183843868,0.015604133071814531,0.48882457721850875
ENSG00000225135,1.0845069957707016,0.024575442104789104,0.48882457721850875
ENSG00000111961,1.1728994516930649,0.009474176788205836,0.48882457721850875
ENSG00000118495,1.0543944496148976,0.015447688973139011,0.48882457721850875
ENSG00000152818,0.6615064642851216,0.032801978806546124,0.48882457721850875
ENSG00000118496,0.8289077552393085,0.0475429933492209,0.48882457721850875
ENSG00000160224,0.7871227187444578,0.01884483899497433,0.48882457721850875
ENSG00000138592,0.7780510582194662,0.014881889651349707,0.48882457721850875
ENSG00000259684,0.6193194099174777,0.015721809632488565,0.48882457721850875
ENSG00000138600,0.5918044891268899,0.026079886921481027,0.48882457721850875
ENSG00000271821,0.6811414993436467,0.038451330093642294,0.48882457721850875
ENSG00000166913,0.38560643943276673,0.040557085456443154,0.48882457721850875
ENSG00000101109,0.5804033755408202,0.020385576878017758,0.48882457721850875
ENSG00000104043,1.1294966437736944,0.004420246906940485,0.48882457721850875
ENSG00000104064,0.5939361584524292,0.04453814998308634,0.48882457721850875
ENSG00000188467,0.8374458630161397,0.028095337897388772,0.48882457721850875
ENSG00000074706,0.5776106825989107,0.03655545355080825,0.48882457721850875
ENSG00000213079,0.694578623203082,0.049289469972803805,0.48882457721850875
ENSG00000200594,-0.6428571428571429,0.0003244010739458881,0.48882457721850875
ENSG00000213760,0.48742828600475896,0.03316859110360723,0.48882457721850875
ENSG00000132824,0.6158684552848186,0.029004118089911667,0.48882457721850875
ENSG00000055208,0.8579865957445421,0.025382274881508134,0.48882457721850875
ENSG00000125871,0.6230266106225812,0.02319962428420524,0.48882457721850875
ENSG00000103942,0.6130170988654768,0.045022286454715926,0.48882457721850875
ENSG00000142185,0.5061999350583868,0.025876610758624848,0.48882457721850875
ENSG00000138593,0.9710761866031365,0.02601952756660094,0.48882457721850875
ENSG00000235381,0.8434346366889471,0.01692986924158258,0.48882457721850875
ENSG00000181472,0.6378527495517048,0.05117557126923671,0.48882457721850875
ENSG00000155906,0.39594002954784013,0.05018317753170259,0.48882457721850875
ENSG00000128951,0.6234264600825838,0.039487327218116194,0.48882457721850875
ENSG00000255302,0.6816277514571247,0.0407333767254333,0.48882457721850875
ENSG00000074964,0.46781900604816684,0.03488702277817376,0.48882457721850875
ENSG00000171763,0.4613833381985444,0.03168283069709133,0.48882457721850875
ENSG00000137767,0.33847314554514263,0.015569104030678488,0.48882457721850875
ENSG00000078269,0.6732014722922317,0.04602042065050422,0.48882457721850875
ENSG00000101247,0.7171468179017157,0.04426778467328164,0.48882457721850875
ENSG00000089177,0.7391883583336725,0.01504411523092613,0.48882457721850875
ENSG00000197081,0.5827326632374294,0.024095515823605168,0.48882457721850875
ENSG00000146476,0.8580367666651831,0.044069373992431174,0.48882457721850875
ENSG00000120262,0.7307812418590807,0.024113300102166828,0.48882457721850875
ENSG00000112029,0.9710558145918915,0.02451734381279993,0.48882457721850875
ENSG00000112031,0.6543963215376509,0.02632491526256883,0.48882457721850875
ENSG00000158717,0.36708382737502987,0.033829895648785156,0.48882457721850875
ENSG00000107581,0.8196185587593696,0.02284243733053016,0.48882457721850875
ENSG00000236537,0.7068922621451473,0.015306981549780961,0.48882457721850875
