Gene,Coefficient,Abs_Coefficient
ENSG00000229807,-0.0339667430860106,0.0339667430860106
AKR1C7P,0.033892772000377,0.033892772000377
ENSG00000230847,-0.0333339698910269,0.0333339698910269
SNORA33,0.0330303343952079,0.0330303343952079
BCORP1,0.0329105253237373,0.0329105253237373
ENSG00000273369,0.0328886625214038,0.0328886625214038
SUV39H2-DT,0.0327315267113883,0.0327315267113883
ENSG00000271009,0.0327112210922288,0.0327112210922288
SLITRK4,0.0325976082466789,0.0325976082466789
FAR2P2,0.0325050785398168,0.0325050785398168
IFI27,0.0320709486469513,0.0320709486469513
ENSG00000129824,0.0316607207686341,0.0316607207686341
ADORA1,0.0313440083311273,0.0313440083311273
RPS10P1,0.0313398709525579,0.0313398709525579
B3GAT1-DT,0.0309729263011226,0.0309729263011226
MIR4458HG,0.030723017266002,0.030723017266002
LPAR1,0.0304292713600966,0.0304292713600966
INHBB,0.0303393266351259,0.0303393266351259
MACC1,0.0302768933445185,0.0302768933445185
ENSG00000270062,0.0302249183933664,0.0302249183933664
STOX1,0.0299996394021604,0.0299996394021604
DNAAF11,0.029864328869727,0.029864328869727
UGT2B11,0.0297713057708615,0.0297713057708615
LINC01277,0.0297112705694825,0.0297112705694825
RPL7P18,0.029066060554897,0.029066060554897
ENSG00000183878,0.0290631536254527,0.0290631536254527
TXLNGY,0.0286262021946138,0.0286262021946138
ENSG00000196381,-0.02861371458081,0.02861371458081
ENSG00000133808,0.0286095496348737,0.0286095496348737
GRAMD1C,-0.0285240549544623,0.0285240549544623
MEF2C-AS1,0.0282990584228323,0.0282990584228323
SORD-AS1,0.0282562890804366,0.0282562890804366
TIMM23B-AGAP6,0.0281894778394459,0.0281894778394459
CMTM1,0.0272700498370162,0.0272700498370162
SRP9P1,0.0272575818401844,0.0272575818401844
ENSG00000198692,0.0271243511133766,0.0271243511133766
ENSG00000224113,0.0269030265078903,0.0269030265078903
WASHC4,-0.0267938061705914,0.0267938061705914
BCL2A1,0.0267919568778048,0.0267919568778048
ENSG00000259806,0.0265182417442402,0.0265182417442402
RPS15AP1,0.026084421250013,0.026084421250013
TCAF1,0.025967030276348,0.025967030276348
RPL36AP37,0.0258326147361789,0.0258326147361789
ENSG00000197044,-0.0257272820573122,0.0257272820573122
LOC105369595,-0.0256944323827501,0.0256944323827501
ENSG00000064989,-0.025221638784031,0.025221638784031
SASH1,0.024727789692257,0.024727789692257
ENSG00000220023,-0.0242813590446232,0.0242813590446232
CDS1,0.0239279287472549,0.0239279287472549
ENSG00000166432,-0.0238903268084927,0.0238903268084927
ENSG00000257017,0.0237334642292967,0.0237334642292967
ENSG00000272755,-0.0234798222899394,0.0234798222899394
ATP8B4,0.0234639648175235,0.0234639648175235
ENSG00000127377,0.0234154447030912,0.0234154447030912
EFCAB13,0.0233670180996956,0.0233670180996956
ENSG00000179331,0.0233483392188599,0.0233483392188599
PMAIP1,-0.0232111252360875,0.0232111252360875
FCHO2,-0.0230210146685762,0.0230210146685762
MSANTD2-AS1,0.0229571217811923,0.0229571217811923
RICTOR,-0.022938256133367,0.022938256133367
ENSG00000122481,-0.0229050369570886,0.0229050369570886
APOOL,0.0228068638876701,0.0228068638876701
LTN1,-0.022760057540381,0.022760057540381
DNAJC28,0.0227195570455554,0.0227195570455554
ZFP92,0.0225982636208387,0.0225982636208387
EDEM3,-0.0225953734111677,0.0225953734111677
ENSG00000258831,0.0225026824394131,0.0225026824394131
ENSG00000261597,0.0222920316317911,0.0222920316317911
TBC1D8B,0.0219415897588224,0.0219415897588224
NEK7,-0.02192187219175,0.02192187219175
ENSG00000225135,-0.0217335432842682,0.0217335432842682
TAS2R40,-0.021672012048991,0.021672012048991
ENSG00000138778,-0.021664264428461,0.021664264428461
USP44,-0.0216371249229972,0.0216371249229972
SPDYA,0.0212173169806353,0.0212173169806353
ENSG00000188056,0.0210121072592061,0.0210121072592061
ENSG00000113638,-0.0207577853223565,0.0207577853223565
ENSG00000259562,-0.0207383627406174,0.0207383627406174
ZNF292,-0.0206441509221211,0.0206441509221211
ENSG00000196911,-0.0205782821496825,0.0205782821496825
IFT81,0.0204448384073949,0.0204448384073949
TRIM23,-0.0204084961135818,0.0204084961135818
ENSG00000067048,0.0202071719761906,0.0202071719761906
NHS,0.020080294082322,0.020080294082322
ENSG00000175928,-0.0198291333557677,0.0198291333557677
FAR1,-0.019669325129852,0.019669325129852
MIR17HG,0.0195712736843629,0.0195712736843629
TRIM61,0.0194972233384687,0.0194972233384687
OSBPL8,-0.0194452250998418,0.0194452250998418
TAS2R64P,0.0190212231865187,0.0190212231865187
THBD,0.0189585071769143,0.0189585071769143
ENSG00000248734,0.018872309773754,0.018872309773754
ENSG00000138448,-0.0188250097859542,0.0188250097859542
PTAR1,-0.0187871913969969,0.0187871913969969
TIPIN,0.0186216357085221,0.0186216357085221
KCTD3,-0.0183052836015967,0.0183052836015967
ENSG00000259865,-0.0181628488820573,0.0181628488820573
SHTN1,0.0180916629147521,0.0180916629147521
ENSG00000267163,0.0180640302064694,0.0180640302064694
OXR1,-0.0180458019072851,0.0180458019072851
ENSG00000138468,-0.0179589118045804,0.0179589118045804
CXXC4,0.017920132190529,0.017920132190529
ST20-AS1,0.017852612963306,0.017852612963306
JMJD1C,-0.0177920951042587,0.0177920951042587
ANO5,0.0176054468556599,0.0176054468556599
LYSMD3,-0.017518428036619,0.017518428036619
ZNF644,-0.0174848339732607,0.0174848339732607
SNX16,-0.0174721915057687,0.0174721915057687
SUZ12,-0.017453874603409,0.017453874603409
BRIP1,0.0173338198171893,0.0173338198171893
MYBPH,0.0173237811892625,0.0173237811892625
IPMK,-0.017271141549631,0.017271141549631
SP3,-0.0172564530124248,0.0172564530124248
ENSG00000169379,-0.0172545434120733,0.0172545434120733
PCMTD1,-0.0172134178713968,0.0172134178713968
PLIN1,-0.01713127839253,0.01713127839253
FAM161A,0.0170595685639455,0.0170595685639455
