Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ACAP3,3094.0,1789.001,2583.002,3059.0,2166.999,3675.002,2024.0,2148.011,2895.0,2364.0
ACAT1,2143.45,1448.194,1399.765,2114.052,996.542,1927.941,840.822,1358.293,1836.864,1623.652
ACAT2,1793.273,874.113,1124.996,2285.343,1259.0,1604.006,566.001,1694.212,1375.845,859.205
ACBD3,1459.0,750.0,813.0,1390.0,694.0,1165.0,691.0,1027.0,1263.0,1211.0
ACBD3-AS1,1.0,3.0,0.0,5.0,3.0,1.0,2.0,0.0,4.0,2.0
ACBD4,384.217,241.508,310.163,459.066,218.182,430.693,204.433,270.655,334.97,308.752
ACBD5,2808.002,1981.942,2061.958,3065.875,1464.435,3184.903,1461.864,2656.87,3010.115,2906.222
ACBD6,752.001,440.0,492.0,786.0,423.963,673.0,305.0,524.999,577.0,604.001
ACBD7,741.524,746.722,780.996,644.287,496.451,920.859,250.274,352.608,890.582,646.604
ACBD7P1,16.385,13.838,3.187,7.599,9.581,10.539,6.537,12.834,8.731,8.57
ACCS,400.0,186.0,250.0,237.0,302.999,328.999,71.0,265.0,439.0,119.001
ACCSL,4.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0
ACCSLP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACD,376.0,234.0,304.001,449.0,241.001,395.0,267.0,276.001,337.998,298.0
ACE,159.18,41.587,108.014,101.625,102.953,155.529,53.387,95.647,104.912,66.516
ACE2,3.0,5.0,14.0,21.0,7.0,10.0,1.0,7.0,12.0,11.0
ACE2-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACE3P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACER1,12.118,5.899,11.004,12.209,6.488,18.782,10.968,15.187,8.425,10.064
ACER2,189.0,123.0,107.0,163.0,68.0,108.0,175.0,116.0,165.0,181.0
ACER3,2425.595,1819.834,1957.078,3174.126,1377.988,3511.887,1448.315,3224.545,3004.473,3040.133
